  4 1                         1.000000
  20 1                        1.000000
  46 1                        1.000000
  47 1                        1.000000
  1 4                         1.000000
  2 3                         1.000000
  3 6                         1.000000
  5 6                         1.000000
  6 5                         1.000000
  7 4                         1.000000
  8 7                         1.000000
  9 7                         1.000000
  10 7                        1.000000
  11 7                        1.000000
  12 3                        1.000000
  13 4                        1.000000
  14 5                        1.000000
  15 5                        1.000000
  16 4                        1.000000
  17 4                        1.000000
  18 6                        1.000000
  19 4                        1.000000
  21 3                        1.000000
  22 4                        1.000000
  23 7                        1.000000
  24 7                        1.000000
  25 5                        1.000000
  26 5                        1.000000
  27 4                        1.000000
  28 6                        1.000000
  29 2                        1.000000
  30 4                        1.000000
  31 6                        1.000000
  32 4                        1.000000
  33 3                        1.000000
  34 4                        1.000000
  35 4                        1.000000
  36 6                        1.000000
  37 5                        1.000000
  38 2                        1.000000
  39 6                        1.000000
  40 3                        1.000000
  41 6                        1.000000
  42 5                        1.000000
  43 6                        1.000000
  44 6                        1.000000
  45 4                        1.000000
  48 2                        1.000000
  49 2                        1.000000
  50 7                        1.000000
  51 6                        1.000000
#optimale Partition: s. part8.txt Nr. 2
