  6 1                         1.000000
  9 1                         1.000000
  16 1                        1.000000
  17 1                        1.000000
  1 4                         1.000000
  2 3                         1.000000
  3 5                         1.000000
  4 5                         1.000000
  5 2                         1.000000
  7 4                         1.000000
  8 5                         1.000000
  10 5                        1.000000
  11 3                        1.000000
  12 3                        1.000000
  13 4                        1.000000
  14 3                        1.000000
  15 2                        1.000000
  18 2                        1.000000
  19 3                        1.000000
#optimale Partition: s. part8.txt Nr. 5
