  2 1                         1.000000
  4 1                         1.000000
  8 1                         1.000000
  18 1                        1.000000
  21 1                        1.000000
  1 3                         1.000000
  3 4                         1.000000
  5 2                         1.000000
  6 2                         1.000000
  7 4                         1.000000
  9 2                         1.000000
  10 5                        1.000000
  11 5                        1.000000
  12 4                        1.000000
  13 2                        1.000000
  14 4                        1.000000
  15 5                        1.000000
  16 6                        1.000000
  17 6                        1.000000
  19 3                        1.000000
  20 2                        1.000000
#optimale Partition: s. part8.txt Nr. 3
