  1 1                         1.000000
  6 1                         1.000000
  10 1                        1.000000
  11 1                        1.000000
  2 2                         1.000000
  3 2                         1.000000
  4 2                         1.000000
  5 3                         1.000000
  7 2                         1.000000
  8 3                         1.000000
  9 3                         1.000000
  12 3                        1.000000
#optimale Partition: s. part8.txt Nr. 13
