8 5100
1 0 53 52 84 3 0 8 
9 6 56 34 10 8 6 9 
5 9 3 61 54 0 2 3 
6 5 35 26 61 4 7 0 
7 2 32 35 28 0 4 9 
3 5 38 105 81 3 9 8 
0 3 40 39 30 7 7 1 
4 7 2 40 40 1 4 2 
3 9 45 49 36 7 2 5 
4 3 37 39 46 8 9 6 
6 3 37 69 60 6 3 5 
8 4 49 78 51 7 8 7 
7 6 27 83 49 9 4 7 
2 6 32 37 39 5 2 8 
1 2 41 60 60 8 1 0 
1 1 5 58 60 1 8 6 
5 5 33 26 59 0 9 6 
1 8 17 29 100 0 0 9 
6 2 58 33 50 1 8 6 
4 1 62 42 44 8 8 8 
7 2 51 60 32 1 4 4 
6 0 16 53 87 0 6 4 
7 3 39 60 46 2 2 3 
0 7 33 60 37 2 3 9 
8 6 26 37 61 8 1 3 
0 4 11 33 51 6 3 7 
5 5 44 67 54 0 8 3 
1 5 51 55 63 2 6 8 
0 0 61 51 45 8 7 6 
7 3 34 48 69 8 5 4 
0 3 62 46 13 1 2 0 
7 7 47 50 33 6 1 2 
6 1 30 32 58 9 2 2 
7 8 1 71 84 7 4 6 
6 6 50 42 27 1 8 8 
0 4 34 51 78 3 5 5 
4 5 28 63 60 0 8 7 
6 7 46 71 62 1 4 2 
0 0 37 37 71 5 4 3 
8 1 11 23 60 6 5 4 
3 4 35 44 43 3 2 3 
4 2 32 75 30 4 3 3 
8 4 22 45 33 7 0 7 
6 4 11 26 36 2 1 1 
4 8 40 50 44 1 2 2 
8 2 43 62 40 7 4 6 
5 7 19 31 32 4 4 1 
4 6 33 35 64 0 5 9 
3 4 34 52 65 1 1 8 
4 6 43 53 45 4 0 0 
9 2 43 46 29 8 2 6 
0 7 16 54 14 4 9 8 
4 7 0 26 60 4 5 2 
1 8 17 61 63 7 7 6 
7 6 16 16 60 3 4 2 
9 6 35 42 72 4 7 1 
5 1 41 78 49 7 2 7 
9 4 49 44 24 3 0 3 
4 7 51 27 8 1 0 5 
0 8 33 32 41 8 3 6 
5 2 32 69 80 8 1 2 
7 0 17 65 52 0 7 1 
0 6 23 25 61 1 3 5 
2 9 21 35 63 8 7 5 
2 1 23 28 44 4 2 1 
9 6 49 81 59 4 8 3 
2 6 0 48 60 5 0 4 
1 9 56 44 51 6 1 7 
3 7 49 43 41 7 2 4 
4 7 29 50 40 6 0 5 
7 9 21 82 29 5 6 5 
9 6 24 54 33 5 8 2 
1 8 1 57 70 9 1 6 
6 4 15 53 55 1 6 9 
8 8 63 71 33 8 8 9 
7 4 58 62 57 8 9 4 
6 5 29 26 50 8 2 8 
9 6 20 99 21 3 8 3 
7 1 25 31 34 9 3 8 
2 8 35 46 26 7 1 1 
0 9 71 35 51 4 4 6 
2 3 27 41 54 6 3 2 
0 2 35 49 49 3 0 7 
4 9 11 49 88 9 2 5 
7 8 30 55 26 9 5 0 
2 8 24 68 63 5 1 9 
6 0 49 79 72 6 2 1 
6 4 43 68 57 9 3 7 
9 9 25 27 50 7 8 0 
6 9 70 24 54 0 5 5 
8 8 42 22 63 1 0 7 
8 8 0 83 35 6 3 6 
7 1 36 74 66 3 8 6 
7 3 46 38 45 2 8 4 
2 1 54 94 30 0 9 5 
5 0 8 28 58 7 1 1 
8 2 53 56 42 4 7 7 
1 3 10 63 52 9 7 4 
5 8 0 57 54 3 0 6 
6 9 9 61 58 0 2 0 
3 1 40 59 67 0 8 1 
6 0 0 62 40 5 8 8 
3 9 26 72 25 8 3 6 
0 3 65 64 44 8 0 2 
0 3 41 54 31 2 8 6 
3 4 24 53 14 0 7 4 
4 2 29 56 35 2 9 6 
4 7 0 54 36 4 8 5 
8 4 47 31 26 2 0 8 
8 2 28 44 62 4 5 8 
7 1 37 75 49 8 7 7 
9 5 28 47 41 1 8 2 
5 0 40 56 67 7 6 0 
6 8 32 20 45 9 7 0 
5 7 49 42 53 7 9 8 
3 7 14 81 66 1 2 1 
3 7 8 59 48 2 4 2 
5 2 13 76 30 9 9 9 
4 3 12 30 56 9 2 3 
9 0 27 40 80 2 6 2 
1 4 0 40 67 4 5 9 
7 5 5 39 81 8 0 7 
1 9 35 35 73 6 9 0 
1 5 12 29 18 5 9 5 
6 8 12 59 80 5 7 5 
1 3 32 71 41 0 3 7 
0 6 32 63 70 4 3 0 
5 4 38 56 24 1 5 0 
9 3 8 91 71 8 3 0 
7 3 23 42 49 5 6 3 
7 5 39 27 27 4 6 6 
8 9 4 64 73 4 3 2 
2 9 24 22 45 6 8 9 
9 1 24 45 53 2 9 5 
9 5 2 40 51 9 1 6 
2 4 0 29 59 0 6 8 
2 4 10 78 37 0 4 4 
1 8 31 99 21 4 7 3 
2 8 56 36 46 8 7 1 
4 3 61 20 76 3 8 7 
7 5 0 35 48 3 8 4 
2 8 68 38 74 7 3 5 
9 2 40 0 66 4 6 1 
4 4 21 66 41 7 8 6 
8 9 42 37 3 6 7 0 
3 9 56 35 39 2 8 9 
9 0 42 81 65 6 6 0 
6 3 33 69 29 8 7 5 
2 2 41 15 53 3 1 2 
7 0 68 24 90 6 2 6 
4 1 17 83 40 5 8 7 
6 2 53 59 59 0 0 4 
3 9 47 71 61 9 2 5 
4 2 23 60 25 4 4 3 
3 3 41 33 50 0 1 8 
1 6 13 84 56 5 1 6 
2 6 40 55 61 8 0 8 
5 0 29 71 53 1 6 6 
7 3 26 49 55 2 7 1 
4 2 39 37 48 1 4 7 
7 1 7 29 24 3 6 1 
6 7 19 34 38 2 1 1 
1 3 64 42 16 9 1 3 
4 9 53 26 47 1 5 7 
0 4 0 37 43 9 5 5 
7 0 19 30 43 2 0 3 
0 2 31 26 37 1 6 5 
2 3 65 53 22 6 1 6 
5 2 32 37 47 6 8 3 
9 9 49 60 64 2 1 3 
2 9 26 45 60 7 4 0 
3 3 38 49 56 3 8 2 
0 4 20 64 39 3 1 9 
9 9 0 24 71 5 0 2 
0 6 13 22 19 4 6 7 
4 8 32 66 36 9 7 8 
0 4 29 41 78 7 7 5 
9 9 26 17 40 5 6 6 
5 1 43 72 21 2 7 9 
4 6 40 38 35 4 3 3 
0 5 0 33 62 1 7 6 
4 7 16 30 29 9 5 8 
3 8 43 59 43 3 4 9 
0 0 3 6 44 4 9 6 
7 3 40 70 51 7 1 5 
0 2 52 51 54 9 0 0 
4 5 66 35 40 6 0 4 
5 6 33 36 83 2 6 4 
5 2 21 33 70 5 8 0 
3 2 0 83 49 3 7 8 
0 3 26 57 70 4 3 4 
0 2 66 70 36 0 2 9 
8 3 32 42 31 2 4 5 
8 1 23 49 49 7 9 4 
3 7 27 73 75 9 3 5 
9 4 4 68 55 6 2 5 
9 4 15 48 63 1 6 9 
2 5 1 23 63 4 0 3 
2 4 7 64 35 2 2 5 
3 4 20 0 67 1 4 8 
9 2 9 60 59 0 4 8 
6 7 65 66 89 3 2 6 
0 9 46 45 50 5 1 4 
9 9 6 50 33 1 5 8 
8 0 0 57 64 6 5 6 
9 0 23 55 60 5 9 5 
3 4 13 66 51 6 6 8 
2 2 27 84 49 5 4 0 
5 2 69 27 100 1 0 3 
1 2 1 7 67 5 4 8 
0 9 10 60 49 8 1 2 
5 4 33 44 59 3 8 2 
5 2 32 67 56 9 7 3 
4 1 28 35 45 6 2 8 
6 9 28 54 91 7 0 9 
8 6 48 52 72 5 4 6 
5 7 8 95 25 0 3 7 
1 3 37 37 26 4 8 3 
4 9 70 38 84 0 2 7 
7 6 15 51 20 3 2 6 
1 0 44 58 77 6 5 1 
9 1 52 37 78 4 3 4 
6 7 35 29 70 9 0 4 
7 3 0 48 31 0 3 0 
0 5 24 107 65 0 7 6 
6 0 54 45 66 0 6 4 
7 2 35 7 54 9 6 4 
1 0 45 72 54 3 3 6 
2 8 59 44 50 5 3 5 
0 6 43 24 39 6 6 0 
0 1 43 68 39 7 9 1 
5 6 23 68 32 4 2 3 
2 3 34 46 51 2 8 4 
4 4 25 40 43 9 3 3 
5 7 41 52 84 1 8 0 
6 6 18 24 63 0 8 8 
8 5 71 64 92 2 6 9 
4 9 13 38 48 4 0 1 
4 6 19 24 46 6 3 5 
9 4 8 74 69 8 1 6 
4 9 43 49 48 3 9 5 
5 3 76 59 39 1 0 3 
3 5 13 85 35 9 4 1 
3 4 2 22 49 3 0 3 
7 3 28 56 39 3 2 5 
5 1 8 17 19 4 1 6 
9 1 31 57 56 6 5 3 
4 2 44 44 25 2 0 6 
3 9 20 53 18 6 8 9 
5 2 57 32 67 5 4 4 
7 7 28 44 30 0 3 0 
2 7 0 9 43 5 9 3 
6 6 0 81 51 1 2 4 
5 2 27 74 71 9 8 9 
4 0 50 52 65 6 9 0 
4 2 45 68 94 6 1 3 
0 6 31 41 73 4 5 7 
4 8 26 0 49 7 4 1 
8 5 34 41 74 6 9 6 
2 5 9 50 39 7 1 6 
2 9 25 34 57 9 6 3 
3 6 25 62 56 5 6 4 
2 4 34 59 50 6 6 7 
0 4 50 11 58 6 9 4 
7 5 40 40 35 6 5 8 
6 0 30 53 58 2 3 8 
8 7 20 54 73 5 8 6 
5 6 22 57 47 8 7 3 
8 5 52 36 48 4 8 1 
7 3 49 29 17 4 8 6 
4 5 6 60 32 4 5 3 
9 3 53 43 62 8 9 0 
3 4 29 79 67 5 1 8 
7 0 33 40 65 0 1 8 
9 1 33 22 66 1 9 3 
1 9 22 54 33 1 0 3 
3 8 18 43 73 9 8 9 
2 4 34 55 39 1 6 1 
5 2 26 34 56 5 3 3 
9 6 12 61 28 2 2 9 
9 0 27 52 24 3 4 1 
9 4 39 57 41 4 9 7 
4 9 20 55 59 5 6 5 
9 1 8 22 65 4 3 4 
7 6 57 43 20 8 4 4 
7 7 11 40 43 7 4 5 
4 6 31 39 84 3 7 2 
7 7 35 40 60 3 7 7 
4 5 49 38 57 0 0 0 
7 3 55 108 26 8 8 5 
6 6 45 35 60 1 2 5 
4 4 7 55 65 5 9 1 
2 6 27 65 51 6 6 4 
9 3 26 75 53 5 2 6 
5 3 54 68 32 3 1 1 
7 8 23 30 57 3 0 7 
3 6 31 35 90 7 4 9 
7 6 15 102 41 0 3 8 
7 7 7 54 37 0 5 7 
1 9 56 32 25 3 7 5 
6 4 34 91 13 3 1 5 
0 9 40 24 61 4 3 3 
8 8 31 32 56 8 9 3 
8 0 45 37 108 6 7 0 
7 9 27 57 69 0 3 5 
5 5 34 61 51 9 2 3 
0 4 62 23 13 4 7 6 
9 6 38 54 57 7 6 5 
1 0 31 23 9 4 1 2 
